entry	name	learn_spell_id	spellid_1	spelltrigger_1
1041	Horn of the Black Wolf	NULL	578	0
1133	Horn of the Winter Wolf	NULL	581	0
1134	Horn of the Gray Wolf	NULL	459	0
2413	Palomino	NULL	471	0
2415	White Stallion	NULL	468	0
3776	Crippling Poison II	NULL	11202	0
5332	Glowing Cat Figurine	NULL	6084	0
5417	Weapon of Massive Destruction (test)	NULL	265	0
5418	Weapon of Mass Destruction (test)	NULL	5	0
5663	Horn of the Red Wolf	NULL	579	0
5874	Harness: Black Ram	NULL	6896	0
5875	Harness: Blue Ram	NULL	6897	0
6948	Hearthstone	NULL	8690	0
7247	Chest of Containment Coffers	NULL	9082	0
8583	Horn of the Skeletal Mount	NULL	8980	0
8589	Old Whistle of the Ivory Raptor	NULL	10795	0
8590	Old Whistle of the Obsidian Raptor	NULL	10798	0
8627	Reins of the Night saber	NULL	10787	0
8628	Reins of the Spotted Nightsaber	NULL	10792	0
8630	Reins of the Bengal Tiger	NULL	10790	0
8633	Reins of the Leopard	NULL	10788	0
11582	Fel Salve	NULL	12938	0
12264	Worg Carrier	15999	55884	0
12529	Smolderweb Carrier	16450	55884	0
12565	Winna's Kitten Carrier	NULL	15647	0
14062	Kodo Mount	NULL	18363	0
16339	Commander's Steed	NULL	16082	0
17712	Winter Veil Disguise Kit	NULL	21848	0
18597	Orcish Orphan Whistle	NULL	23012	0
18598	Human Orphan Whistle	NULL	23013	0
19782	Presence of Might	NULL	24149	0
19783	Syncretist's Sigil	NULL	24160	0
19784	Death's Embrace	NULL	24161	0
19785	Falcon's Call	NULL	24162	0
19786	Vodouisant's Vigilant Embrace	NULL	24163	0
19787	Presence of Sight	NULL	24164	0
19788	Hoodoo Hex	NULL	24165	0
19789	Prophetic Aura	NULL	24167	0
19790	Animist's Caress	NULL	24168	0
20221	Foror's Fabled Steed	24576	55884	0
20403	Proxy of Nozdormu	NULL	24726	0
20464	Glyphs of Calling	NULL	24815	0
20620	Holy Mightstone	NULL	24833	0
21044	Reindeer Reins	NULL	25675	0
21171	Filled Festive Mug	NULL	25851	0
21174	Empty Festive Mug	NULL	25855	0
21328	Wand of Holiday Cheer	NULL	26074	0
21519	Mistletoe	NULL	26004	0
21540	Elune's Lantern	NULL	26265	0
21813	Bag of Heart Candies	NULL	26678	0
22635	Savage Guard	NULL	28161	0
22636	Ice Guard	NULL	28163	0
22638	Shadow Guard	NULL	28165	0
22726	Splinter of Atiesh	NULL	28324	0
22737	Atiesh, Greatstaff of the Guardian	NULL	28354	0
23193	Naxxramas Deathcharger Reins	29059	55884	0
23247	Burning Blossom	NULL	28806	0
23500	Saltheril's Haven Party Invitation	NULL	29451	0
23501	Bloodthistle Petal	NULL	28273	0
23720	Riding Turtle	30174	55884	0
23792	Tree Disguise Kit	NULL	30298	0
23818	Stillpine Furbolg Language Primer	NULL	30419	0
24084	Draenei Banner	NULL	30988	0
24278	Flare Gun	NULL	31333	0
24287	Extinguishing Mixture	NULL	31497	0
24335	Orb of Returning	NULL	31613	0
24467	Living Fire	NULL	31927	0
24501	Gordawg's Boulder	NULL	32001	0
24502	Warmaul Skull	NULL	32036	0
25458	Mag'har Battle Standard	NULL	32205	0
25552	Warmaul Ogre Banner	NULL	32307	0
25555	Kil'sorrow Banner	NULL	32314	0
25596	Peep's Whistle	NULL	32345	0
25604	Warmaul Prison Key	NULL	32347	0
25658	Damp Woolen Blanket	NULL	32408	0
25853	Pack of Incendiary Bombs	NULL	32744	0
28106	Kingston's Primers	NULL	34387	0
28478	To'arch's Primers	NULL	34387	0
29473	Protectorate Igniter	NULL	35372	0
30259	Voren'thal's Presence	NULL	36314	0
30360	Lurky's Egg	24988	55884	0
30436	Jagged Blue Crystal	NULL	36565	0
30437	Jagged Red Crystal	NULL	36565	0
30639	Blood Elf Disguise	NULL	37096	0
31088	Tainted Core	NULL	38134	0
31665	Toy RC Mortar Tank	NULL	38842	0
31760	Miniwing	39181	55884	0
31880	Blood Elf Orphan Whistle	NULL	39478	0
31881	Draenei Orphan Whistle	NULL	39479	0
32566	Picnic Basket	NULL	40530	0
32578	Charged Crystal Focus	NULL	41237	0
