entry	name	learn_spell_id
1132	Horn of the Timber Wolf	580
2411	Black Stallion Bridle	470
2414	Pinto Bridle	472
5655	Chestnut Mare Bridle	6648
5656	Brown Horse Bridle	458
5665	Horn of the Dire Wolf	6653
5668	Horn of the Brown Wolf	6654
5864	Gray Ram	6777
5872	Brown Ram	6899
5873	White Ram	6898
8563	Red Mechanostrider	10873
8586	Whistle of the Mottled Red Raptor	16084
8588	Whistle of the Emerald Raptor	8395
8591	Whistle of the Turquoise Raptor	10796
8592	Whistle of the Violet Raptor	10799
8595	Blue Mechanostrider	10969
8629	Reins of the Striped Nightsaber	10793
8631	Reins of the Striped Frostsaber	8394
8632	Reins of the Spotted Frostsaber	10789
12302	Reins of the Ancient Frostsaber	16056
12303	Reins of the Nightsaber	16055
12325	Reins of the Primal Leopard	16058
12326	Reins of the Tawny Sabercat	16059
12327	Reins of the Golden Sabercat	16060
12330	Horn of the Red Wolf	16080
12351	Horn of the Arctic Wolf	16081
12353	White Stallion Bridle	16083
12354	Palomino Bridle	16082
13086	Reins of the Winterspring Frostsaber	17229
13317	Whistle of the Ivory Raptor	17450
13321	Green Mechanostrider	17453
13322	Unpainted Mechanostrider	17454
13323	Purple Mechanostrider	17455
13324	Red and Blue Mechanostrider	17456
13325	Fluorescent Green Mechanostrider	NULL
13326	White Mechanostrider Mod B	15779
13327	Icy Blue Mechanostrider Mod A	17459
13328	Black Ram	17461
13329	Frost Ram	17460
13331	Red Skeletal Horse	17462
13332	Blue Skeletal Horse	17463
13333	Brown Skeletal Horse	17464
13334	Green Skeletal Warhorse	17465
13335	Deathcharger's Reins	17481
15277	Gray Kodo	18989
15290	Brown Kodo	18990
15292	Green Kodo	18991
15293	Teal Kodo	18992
18241	Black War Steed Bridle	22717
18242	Reins of the Black War Tiger	22723
18243	Black Battlestrider	22719
18244	Black War Ram	22720
18245	Horn of the Black War Wolf	22724
18246	Whistle of the Black War Raptor	22721
18247	Black War Kodo	22718
18248	Red Skeletal Warhorse	22722
18766	Reins of the Swift Frostsaber	23221
18767	Reins of the Swift Mistsaber	23219
18768	Reins of the Swift Dawnsaber	23220
18772	Swift Green Mechanostrider	23225
18773	Swift White Mechanostrider	23223
18774	Swift Yellow Mechanostrider	23222
18776	Swift Palomino	23227
18777	Swift Brown Steed	23229
18778	Swift White Steed	23228
18785	Swift White Ram	23240
18786	Swift Brown Ram	23238
18787	Swift Gray Ram	23239
18788	Swift Blue Raptor	23241
18789	Swift Olive Raptor	23242
18790	Swift Orange Raptor	23243
18791	Purple Skeletal Warhorse	23246
18793	Great White Kodo	23247
18794	Great Brown Kodo	23249
18795	Great Gray Kodo	23248
18796	Horn of the Swift Brown Wolf	23250
18797	Horn of the Swift Timber Wolf	23251
18798	Horn of the Swift Gray Wolf	23252
18902	Reins of the Swift Stormsaber	23338
19029	Horn of the Frostwolf Howler	23509
19030	Stormpike Battle Charger	23510
19872	Swift Razzashi Raptor	24242
19902	Swift Zulian Tiger	24252
21176	Black Qiraji Resonating Crystal	26656
21218	Blue Qiraji Resonating Crystal	25953
21321	Red Qiraji Resonating Crystal	26054
21323	Green Qiraji Resonating Crystal	26056
21324	Yellow Qiraji Resonating Crystal	26055
25470	Golden Gryphon	32235
25471	Ebon Gryphon	32239
25472	Snowy Gryphon	32240
25473	Swift Blue Gryphon	32242
25474	Tawny Wind Rider	32243
25475	Blue Wind Rider	32244
25476	Green Wind Rider	32245
25477	Swift Red Wind Rider	32246
25527	Swift Red Gryphon	32289
25528	Swift Green Gryphon	32290
25529	Swift Purple Gryphon	32292
25531	Swift Green Wind Rider	32295
25532	Swift Yellow Wind Rider	32296
25533	Swift Purple Wind Rider	32297
27819	NPC Equip 27819	NULL
27853	NPC Equip 27853	NULL
28481	Brown Elekk	34406
28482	Great Elite Elekk	34407
28915	Reins of the Dark Riding Talbuk	39316
28927	Red Hawkstrider	34795
28936	Swift Pink Hawkstrider	33660
29102	Reins of the Cobalt War Talbuk	34896
29103	Reins of the White War Talbuk	34897
29104	Reins of the Silver War Talbuk	34898
29105	Reins of the Tan War Talbuk	34899
29220	Blue Hawkstrider	35020
29221	Black Hawkstrider	35022
29222	Purple Hawkstrider	35018
29223	Swift Green Hawkstrider	35025
