itemset	entry	name
1	11726	Savage Gladiator Chain
1	11728	Savage Gladiator Leggings
1	11729	Savage Gladiator Helm
1	11730	Savage Gladiator Grips
1	11731	Savage Gladiator Greaves
41	12939	Dal'Rend's Tribal Guardian
41	12940	Dal'Rend's Sacred Charge
65	13183	Venomspitter
65	13218	Fang of the Crystal Spider
81	13388	The Postmaster's Tunic
81	13389	The Postmaster's Trousers
81	13390	The Postmaster's Band
81	13391	The Postmaster's Treads
81	13392	The Postmaster's Seal
121	14636	Cadaverous Belt
121	14637	Cadaverous Armor
121	14638	Cadaverous Leggings
121	14640	Cadaverous Gloves
121	14641	Cadaverous Walkers
122	14626	Necropile Robe
122	14629	Necropile Cuffs
122	14631	Necropile Boots
122	14632	Necropile Leggings
122	14633	Necropile Mantle
123	14611	Bloodmail Hauberk
123	14612	Bloodmail Legguards
123	14614	Bloodmail Belt
123	14615	Bloodmail Gauntlets
123	14616	Bloodmail Boots
124	14620	Deathbone Girdle
124	14621	Deathbone Sabatons
124	14622	Deathbone Gauntlets
124	14623	Deathbone Legguards
124	14624	Deathbone Chestplate
141	15053	Volcanic Breastplate
141	15054	Volcanic Leggings
141	15055	Volcanic Shoulders
142	15056	Stormshroud Armor
142	15057	Stormshroud Pants
142	15058	Stormshroud Shoulders
142	21278	Stormshroud Gloves
143	15062	Devilsaur Leggings
143	15063	Devilsaur Gauntlets
144	15066	Ironfeather Breastplate
144	15067	Ironfeather Shoulders
161	10399	Blackened Defias Armor
161	10400	Blackened Defias Leggings
161	10401	Blackened Defias Gloves
161	10402	Blackened Defias Boots
161	10403	Blackened Defias Belt
162	6473	Armor of the Fang
162	10410	Leggings of the Fang
162	10411	Footpads of the Fang
162	10412	Belt of the Fang
162	10413	Gloves of the Fang
163	10328	Scarlet Chestpiece
163	10329	Scarlet Belt
163	10330	Scarlet Leggings
163	10331	Scarlet Gauntlets
163	10332	Scarlet Boots
163	10333	Scarlet Wristguards
181	16682	Magister's Boots
181	16683	Magister's Bindings
181	16684	Magister's Gloves
181	16685	Magister's Belt
181	16686	Magister's Crown
181	16687	Magister's Leggings
181	16688	Magister's Robes
181	16689	Magister's Mantle
182	16690	Devout Robe
182	16691	Devout Sandals
182	16692	Devout Gloves
182	16693	Devout Crown
182	16694	Devout Skirt
182	16695	Devout Mantle
182	16696	Devout Belt
182	16697	Devout Bracers
183	16698	Dreadmist Mask
183	16699	Dreadmist Leggings
183	16700	Dreadmist Robe
183	16701	Dreadmist Mantle
183	16702	Dreadmist Belt
183	16703	Dreadmist Bracers
183	16704	Dreadmist Sandals
183	16705	Dreadmist Wraps
184	16707	Shadowcraft Cap
184	16708	Shadowcraft Spaulders
184	16709	Shadowcraft Pants
184	16710	Shadowcraft Bracers
184	16711	Shadowcraft Boots
184	16712	Shadowcraft Gloves
184	16713	Shadowcraft Belt
184	16721	Shadowcraft Tunic
185	16706	Wildheart Vest
185	16714	Wildheart Bracers
185	16715	Wildheart Boots
185	16716	Wildheart Belt
185	16717	Wildheart Gloves
185	16718	Wildheart Spaulders
185	16719	Wildheart Kilt
185	16720	Wildheart Cowl
186	16674	Beaststalker's Tunic
186	16675	Beaststalker's Boots
186	16676	Beaststalker's Gloves
186	16677	Beaststalker's Cap
186	16678	Beaststalker's Pants
186	16679	Beaststalker's Mantle
186	16680	Beaststalker's Belt
186	16681	Beaststalker's Bindings
187	16666	Vest of Elements
187	16667	Coif of Elements
187	16668	Kilt of Elements
187	16669	Pauldrons of Elements
187	16670	Boots of Elements
187	16671	Bindings of Elements
187	16672	Gauntlets of Elements
187	16673	Cord of Elements
188	16722	Lightforge Bracers
188	16723	Lightforge Belt
188	16724	Lightforge Gauntlets
188	16725	Lightforge Boots
188	16726	Lightforge Breastplate
188	16727	Lightforge Helm
188	16728	Lightforge Legplates
188	16729	Lightforge Spaulders
189	16730	Breastplate of Valor
189	16731	Helm of Valor
189	16732	Legplates of Valor
189	16733	Spaulders of Valor
189	16734	Boots of Valor
189	16735	Bracers of Valor
189	16736	Belt of Valor
189	16737	Gauntlets of Valor
201	16795	Arcanist Crown
201	16796	Arcanist Leggings
201	16797	Arcanist Mantle
201	16798	Arcanist Robes
201	16799	Arcanist Bindings
201	16800	Arcanist Boots
201	16801	Arcanist Gloves
201	16802	Arcanist Belt
202	16811	Boots of Prophecy
202	16812	Gloves of Prophecy
202	16813	Circlet of Prophecy
202	16814	Pants of Prophecy
202	16815	Robes of Prophecy
202	16816	Mantle of Prophecy
202	16817	Girdle of Prophecy
202	16819	Vambraces of Prophecy
203	16803	Felheart Slippers
203	16804	Felheart Bracers
203	16805	Felheart Gloves
203	16806	Felheart Belt
203	16807	Felheart Shoulder Pads
203	16808	Felheart Horns
203	16809	Felheart Robes
203	16810	Felheart Pants
204	16820	Nightslayer Chestpiece
204	16821	Nightslayer Cover
204	16822	Nightslayer Pants
204	16823	Nightslayer Shoulder Pads
204	16824	Nightslayer Boots
204	16825	Nightslayer Bracelets
204	16826	Nightslayer Gloves
204	16827	Nightslayer Belt
205	16828	Cenarion Belt
205	16829	Cenarion Boots
205	16830	Cenarion Bracers
205	16831	Cenarion Gloves
205	16833	Cenarion Vestments
205	16834	Cenarion Helm
205	16835	Cenarion Leggings
205	16836	Cenarion Spaulders
206	16845	Giantstalker's Breastplate
206	16846	Giantstalker's Helmet
206	16847	Giantstalker's Leggings
206	16848	Giantstalker's Epaulets
206	16849	Giantstalker's Boots
206	16850	Giantstalker's Bracers
206	16851	Giantstalker's Belt
206	16852	Giantstalker's Gloves
207	16837	Earthfury Boots
207	16838	Earthfury Belt
207	16839	Earthfury Gauntlets
207	16840	Earthfury Bracers
207	16841	Earthfury Vestments
207	16842	Earthfury Helmet
207	16843	Earthfury Legguards
207	16844	Earthfury Epaulets
208	16853	Lawbringer Chestguard
208	16854	Lawbringer Helm
208	16855	Lawbringer Legplates
208	16856	Lawbringer Spaulders
208	16857	Lawbringer Bracers
208	16858	Lawbringer Belt
208	16859	Lawbringer Boots
208	16860	Lawbringer Gauntlets
209	16861	Bracers of Might
209	16862	Sabatons of Might
209	16863	Gauntlets of Might
209	16864	Belt of Might
209	16865	Breastplate of Might
209	16866	Helm of Might
209	16867	Legplates of Might
209	16868	Pauldrons of Might
210	16818	Netherwind Belt
210	16912	Netherwind Boots
210	16913	Netherwind Gloves
210	16914	Netherwind Crown
210	16915	Netherwind Pants
210	16916	Netherwind Robes
210	16917	Netherwind Mantle
210	16918	Netherwind Bindings
211	16919	Boots of Transcendence
211	16920	Handguards of Transcendence
211	16921	Halo of Transcendence
211	16922	Leggings of Transcendence
211	16923	Robes of Transcendence
211	16924	Pauldrons of Transcendence
211	16925	Belt of Transcendence
211	16926	Bindings of Transcendence
212	16927	Nemesis Boots
212	16928	Nemesis Gloves
212	16929	Nemesis Skullcap
212	16930	Nemesis Leggings
212	16931	Nemesis Robes
212	16932	Nemesis Spaulders
212	16933	Nemesis Belt
212	16934	Nemesis Bracers
213	16832	Bloodfang Spaulders
213	16905	Bloodfang Chestpiece
213	16906	Bloodfang Boots
213	16907	Bloodfang Gloves
213	16908	Bloodfang Hood
213	16909	Bloodfang Pants
213	16910	Bloodfang Belt
213	16911	Bloodfang Bracers
214	16897	Stormrage Chestguard
214	16898	Stormrage Boots
214	16899	Stormrage Handguards
214	16900	Stormrage Cover
214	16901	Stormrage Legguards
214	16902	Stormrage Pauldrons
214	16903	Stormrage Belt
214	16904	Stormrage Bracers
215	16935	Dragonstalker's Bracers
215	16936	Dragonstalker's Belt
215	16937	Dragonstalker's Spaulders
215	16938	Dragonstalker's Legguards
215	16939	Dragonstalker's Helm
215	16940	Dragonstalker's Gauntlets
215	16941	Dragonstalker's Greaves
215	16942	Dragonstalker's Breastplate
216	16943	Bracers of Ten Storms
216	16944	Belt of Ten Storms
216	16945	Epaulets of Ten Storms
216	16946	Legplates of Ten Storms
216	16947	Helmet of Ten Storms
216	16948	Gauntlets of Ten Storms
216	16949	Greaves of Ten Storms
216	16950	Breastplate of Ten Storms
217	16951	Judgement Bindings
