itemset	entry	name	InventoryType
1	11729	Savage Gladiator Helm	1
1	11726	Savage Gladiator Chain	5
1	11728	Savage Gladiator Leggings	7
1	11731	Savage Gladiator Greaves	8
1	11730	Savage Gladiator Grips	10
41	12940	Dal'Rend's Sacred Charge	21
41	12939	Dal'Rend's Tribal Guardian	22
65	13183	Venomspitter	13
65	13218	Fang of the Crystal Spider	13
81	13390	The Postmaster's Band	1
81	13388	The Postmaster's Tunic	5
81	13389	The Postmaster's Trousers	7
81	13391	The Postmaster's Treads	8
81	13392	The Postmaster's Seal	11
121	14637	Cadaverous Armor	5
121	14636	Cadaverous Belt	6
121	14638	Cadaverous Leggings	7
121	14641	Cadaverous Walkers	8
121	14640	Cadaverous Gloves	10
122	14633	Necropile Mantle	3
122	14632	Necropile Leggings	7
122	14631	Necropile Boots	8
122	14629	Necropile Cuffs	9
122	14626	Necropile Robe	20
123	14611	Bloodmail Hauberk	5
123	14614	Bloodmail Belt	6
123	14612	Bloodmail Legguards	7
123	14616	Bloodmail Boots	8
123	14615	Bloodmail Gauntlets	10
124	14624	Deathbone Chestplate	5
124	14620	Deathbone Girdle	6
124	14623	Deathbone Legguards	7
124	14621	Deathbone Sabatons	8
124	14622	Deathbone Gauntlets	10
141	15055	Volcanic Shoulders	3
141	15053	Volcanic Breastplate	5
141	15054	Volcanic Leggings	7
142	15058	Stormshroud Shoulders	3
142	15056	Stormshroud Armor	5
142	15057	Stormshroud Pants	7
142	21278	Stormshroud Gloves	10
143	15062	Devilsaur Leggings	7
143	15063	Devilsaur Gauntlets	10
144	15067	Ironfeather Shoulders	3
144	15066	Ironfeather Breastplate	5
161	10399	Blackened Defias Armor	5
161	10403	Blackened Defias Belt	6
161	10400	Blackened Defias Leggings	7
161	10402	Blackened Defias Boots	8
161	10401	Blackened Defias Gloves	10
162	6473	Armor of the Fang	5
162	10412	Belt of the Fang	6
162	10410	Leggings of the Fang	7
162	10411	Footpads of the Fang	8
162	10413	Gloves of the Fang	10
163	10328	Scarlet Chestpiece	5
163	10329	Scarlet Belt	6
163	10330	Scarlet Leggings	7
163	10332	Scarlet Boots	8
163	10333	Scarlet Wristguards	9
163	10331	Scarlet Gauntlets	10
181	16686	Magister's Crown	1
181	16689	Magister's Mantle	3
181	16685	Magister's Belt	6
181	16687	Magister's Leggings	7
181	16682	Magister's Boots	8
181	16683	Magister's Bindings	9
181	16684	Magister's Gloves	10
181	16688	Magister's Robes	20
182	16693	Devout Crown	1
